X,Y,label,deities,centuries
23.847445,40.820354,Temple - Amphipolis,(1:Isis),"(2:4 BCE,3 BCE)"
36.165318,36.200663,Temple - Antiochia ad Orontem,(1:Isis),(1:3 BCE)
22.719464,37.631561,Temple - Argos,"(2:Isis,Sarapis)",(1:3 BCE)
31.171507,36.9392952,Temple - Aspendus/Aspendos,(1:Sarapis),(1:3 BCE)
26.35142,36.547366,Temple - Astipalaia,"(2:Sarapis,Isis)","(2:3 BCE,2 BCE)"
23.7239852,37.9727465,Temple - Athenae,(1:Sarapis),(1:3 BCE)
27.589505,37.195835,Temple - Bargylia,"(3:Sarapis,Anubis,Isis)",(1:3 BCE)
27.921195,36.336185,Temple - Camirus/Kamiros,(1:Sarapis),"(2:3 BCE,2 BCE)"
10.3272205,36.8538753,Temple - Carthago,(1:Isis),"(2:3 BCE,2 BCE)"
27.9562175,37.041728,Temple - Ceramus/Keramos,(1:Sarapis),"(2:3 BCE,2 BCE)"
22.841628,38.494419,Temple - Chaironeia/Chaeorena,(1:Sarapis),"(2:3 BCE,2 BCE)"
23.621937,38.457139,Temple - Chalcis,"(3:Sarapis,Isis,Anubis)",(1:2 BCE)
26.053,38.414,Temple - Chios,(1:Sarapis),(1:2 BCE)
21.856333,32.8218757,Temple - Cyrene,(1:Isis),(1:4 BCE)
25.271111,37.393333,Temple - Delos A,(1:Sarapis),(1:3 BCE)
27.3455126,37.9421834,Temple - Ephesus,"(3:Isis,Sarapis,Anubis)",(1:3 BCE)
23.790535,38.398169,Temple - Eretria,(1:Isis),"(4:4 BCE,3 BCE,2 BCE,1 BCE)"
22.498138,39.858934,Temple - Gonnos,"(2:Sarapis,Isis)",(1:3 BCE)
24.9469437,35.0627202,Temple - Gortyn,"(2:Isis,Sarapis)",(1:2 BCE)
27.423765,37.0382205,Temple - Halicarnassus,"(2:Isis,Sarapis)",(1:3 BCE)
55.3615934,37.103114,Temple - Hyrcania,(1:Sarapis),(1:3 BCE)
28.0881777,36.0913239,Temple - Lindus/Lindos,(1:Sarapis),"(5:3 BCE,2 BCE,1 BCE,1 CE,2 CE)"
27.526039,37.8505485,Temple - Magnesia ad Maeandrum,(1:Sarapis),(1:2 BCE)
25.8640625,36.8241875,Temple - Minoa,(1:Sarapis),(1:3 BCE)
22.974702,38.493319,Temple - Orchomenus,(1:Sarapis),"(3:3 BCE,2 BCE,1 BCE)"
25.19,37.05,Temple - Paros,(1:Sarapis),(1:2 BCE)
28.11667,36.63333,Temple - Phoenix,(1:Sarapis),(1:3 BCE)
23.644609,37.937222,Temple - Piraeus,(1:Isis),(1:3 BCE)
27.2980995,37.6599361,Temple - Priene,"(3:Sarapis,Isis,Apis)",(0:)
24.028009,38.222727,Temple - Rhamnous,"(2:Sarapis,Isis)",(1:3 BCE)
28.21672,36.440683,Temple - Rhodos (city),(0:),"(4:2 BCE,1 BCE,1 CE,2 CE)"
26.944483,37.68825,Temple - Samos,(1:Isis),(1:2 BCE)
28.0645,37.31359,Temple - Stratonicea,(1:Sarapis),(1:3 BCE)
27.813674,36.566308,Temple - Syme,(1:Sarapis),(1:2 BCE)
15.292111,37.852313,Temple - Tauromenium,(1:Sarapis),"(2:3 BCE,2 BCE)"
25.433333,36.416667,Temple - Thera,(1:Isis),(1:3 BCE)
22.949569,40.630282,Temple - Thessalonica,(1:Sarapis),"(7:3 BCE,2 BCE,1 BCE,1 CE,2 CE,3 CE,4 CE)"
35.209358,33.268071,Temple - Tyrus,(1:Sarapis),(1:3 BCE)
